teamcode,Season,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted By,Draft Year,Salary,Index,PlayerKey,ProfileLookup,Player ID,PlayerImgurl,HeightInInches,Draft Pick (Overall),Draft Round,UPPERCASE
CIN,2019,34,Samaje Perine,24,RB,3,0,240,5-11,Oklahoma,"Saturday, September 16, 1995",2,,Washington Redskins,2017,,33,CIN33,https://www.pro-football-reference.com/players/P/PeriSa00.htm,CIN33,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/PeriSa00_2019.jpg,71,,,SAMAJE PERINE
CLE,2019,40,Malik Jefferson,23,OLB,3,0,241,6-2,Texas,"Friday, November 15, 1996",1,,Cincinnati Bengals,2018,,21,CLE21,https://www.pro-football-reference.com/players/J/JeffMa00.htm,CLE21,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JeffMa00_2019.jpg,74,,,MALIK JEFFERSON
CLE,2019,10,Taywan Taylor,24,WR,2,1,203,5-11,Western Kentucky,"Thursday, March 2, 1995",2,,Tennessee Titans,2017,,43,CLE43,https://www.pro-football-reference.com/players/T/TaylTa00.htm,CLE43,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TaylTa00_2019.jpg,71,,,TAYWAN TAYLOR
CLE,2019,77,Wyatt Teller,25,OG,2,0,314,6-4,Virginia Tech,"Monday, November 21, 1994",1,,Buffalo Bills,2018,,44,CLE44,https://www.pro-football-reference.com/players/T/TellWy00.htm,CLE44,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TellWy00_2019.jpg,76,,,WYATT TELLER
CRD,2019,90,Jonathan Bullard,26,DE,1,0,296,6-3,Florida,"Friday, October 22, 1993",3,,Chicago Bears,2016,,5,CRD5,https://www.pro-football-reference.com/players/B/BullJo00.htm,CRD5,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BullJo00_2019.jpg,75,,,JONATHAN BULLARD
CRD,2019,54,Cassius Marsh,27,DE,3,0,254,6-4,UCLA,"Tuesday, July 7, 1992",5,,Seattle Seahawks,2014,,28,CRD28,https://www.pro-football-reference.com/players/M/MarsCa00.htm,CRD28,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MarsCa00_2019.jpg,76,,,CASSIUS MARSH
CRD,2019,93,Clinton McDonald,32,DT,3,0,297,6-2,Memphis,"Tuesday, January 6, 1987",10,,Cincinnati Bengals,2009,,29,CRD29,https://www.pro-football-reference.com/players/M/McDoCl99.htm,CRD29,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/McDoCl99_2019.jpg,74,,,CLINTON MCDONALD
CRD,2019,79,Jordan Mills,29,OT,2,1,316,6-5,Louisiana Tech,"Monday, December 24, 1990",6,,Chicago Bears,2013,,31,CRD31,https://www.pro-football-reference.com/players/M/MillJo02.htm,CRD31,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MillJo02_2019.jpg,77,,,JORDAN MILLS
DEN,2019,2,Brandon Allen,27,QB,,,209,6-2,Arkansas,"Saturday, September 5, 1992",1,,Jacksonville Jaguars,2016,,0,DEN0,https://www.pro-football-reference.com/players/A/AlleBr00.htm,DEN0,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AlleBr00_2019.jpg,74,,,BRANDON ALLEN
DEN,2019,20,Duke Dawson,23,CB,3,0,198,5-10,Florida,"Thursday, October 3, 1996",1,,New England Patriots,2018,,10,DEN10,https://www.pro-football-reference.com/players/D/DawsDu00.htm,DEN10,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DawsDu00_2019.jpg,70,,,DUKE DAWSON
DEN,2019,27,Davontae Harris,24,CB,3,0,200,5-11,Illinois St.,"Saturday, January 21, 1995",1,,Cincinnati Bengals,2018,,18,DEN18,https://www.pro-football-reference.com/players/H/HarrDa05.htm,DEN18,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HarrDa05_2019.jpg,71,,,DAVONTAE HARRIS
DEN,2019,56,Corey Nelson,27,OLB,3,2,226,6-1,Oklahoma,"Wednesday, April 22, 1992",5,,Denver Broncos,2014,,36,DEN36,https://www.pro-football-reference.com/players/N/NelsCo00.htm,DEN36,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/NelsCo00_2019.jpg,73,,,COREY NELSON
DET,2019,2,Jeff Driskel,26,QB,,,235,6-4,"Florida,Louisiana Tech","Friday, April 23, 1993",1,,San Francisco 49ers,2016,,13,DET13,https://www.pro-football-reference.com/players/D/DrisJe00.htm,DET13,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DrisJe00_2019.jpg,76,,,JEFF DRISKEL
DET,2019,26,Paul Perkins,25,RB,,,213,5-11,UCLA,"Wednesday, November 16, 1994",3,,New York Giants,2016,,38,DET38,https://www.pro-football-reference.com/players/P/PerkPa00.htm,DET38,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/PerkPa00_2019.jpg,71,,,PAUL PERKINS
GNB,2019,93,B.J. Goodson,26,OLB,3,2,241,6-1,Clemson,"Thursday, April 29, 1993",3,,New York Giants,2016,,17,GNB17,https://www.pro-football-reference.com/players/G/GoodB.00.htm,GNB17,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GoodB.00_2019.jpg,73,,,BJ GOODSON
GNB,2019,27,Tremon Smith,23,,1,0,190,6-0,Central Arkansas,"Saturday, July 20, 1996",1,,Kansas City Chiefs,2018,,42,GNB42,https://www.pro-football-reference.com/players/S/SmitTr04.htm,GNB42,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SmitTr04_2019.jpg,72,,,TREMON SMITH
HTX,2019,35,Keion Crossen,23,CB,3,0,185,5-10,West. Carolina,"Wednesday, April 17, 1996",1,,New England Patriots,2018,,9,HTX9,https://www.pro-football-reference.com/players/C/CrosKe00.htm,HTX9,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CrosKe00_2019.jpg,70,,,KEION CROSSEN
HTX,2019,28,Phillip Gaines,28,CB,2,0,193,6-0,Rice,"Thursday, April 4, 1991",5,,Kansas City Chiefs,2014,,16,HTX16,https://www.pro-football-reference.com/players/G/GainPh00.htm,HTX16,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GainPh00_2019.jpg,72,,,PHILLIP GAINES
HTX,2019,23,Carlos Hyde,29,RB,3,3,229,6-0,Ohio St.,"Thursday, September 20, 1990",5,,San Francisco 49ers,2014,,23,HTX23,https://www.pro-football-reference.com/players/H/HydeCa00.htm,HTX23,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HydeCa00_2019.jpg,72,,,CARLOS HYDE
HTX,2019,54,Jacob Martin,24,LB,3,0,242,6-2,Temple,"Monday, December 11, 1995",1,,Seattle Seahawks,2018,,32,HTX32,https://www.pro-football-reference.com/players/M/MartJa02.htm,HTX32,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MartJa02_2019.jpg,74,,,JACOB MARTIN
HTX,2019,3,Alex McGough,24,QB,,,214,6-3,Florida International,"Sunday, November 19, 1995",1,,Seattle Seahawks,2018,,35,HTX35,https://www.pro-football-reference.com/players/M/McGoAl00.htm,HTX35,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/McGoAl00_2019.jpg,75,,,ALEX MCGOUGH
HTX,2019,52,Barkevious Mingo,29,OLB,3,0,235,6-5,LSU,"Thursday, October 4, 1990",6,,Cleveland Browns,2013,,38,HTX38,https://www.pro-football-reference.com/players/M/MingBa00.htm,HTX38,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MingBa00_2019.jpg,77,,,BARKEVIOUS MINGO
JAX,2019,88,Seth Devalve,26,TE,3,1,245,6-3,Princeton,"Friday, January 29, 1993",3,,Cleveland Browns,2016,,16,JAX16,https://www.pro-football-reference.com/players/D/DevaSe00.htm,JAX16,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DevaSe00_2019.jpg,75,,,SETH DEVALVE
JAX,2019,1,Joshua Dobbs,24,QB,,,216,6-3,Tennessee,"Thursday, January 26, 1995",1,,Pittsburgh Steelers,2017,,17,JAX17,https://www.pro-football-reference.com/players/D/DobbJo00.htm,JAX17,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DobbJo00_2019.jpg,75,,,JOSHUA DOBBS
JAX,2019,24,Tyler Ervin,26,RB,3,0,185,5-10,San Jose St.,"Thursday, October 7, 1993",3,,Houston Texans,2016,,18,JAX18,https://www.pro-football-reference.com/players/E/ErviTy00.htm,JAX18,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ErviTy00_2019.jpg,70,,,TYLER ERVIN
KAN,2019,79,Jeff Allen,29,T,3,0,306,6-4,Illinois,"Monday, January 8, 1990",7,,Kansas City Chiefs,2012,,1,KAN1,https://www.pro-football-reference.com/players/A/AlleJe01.htm,KAN1,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AlleJe01_2019.jpg,76,,,JEFF ALLEN
KAN,2019,25,LeSean McCoy,31,RB,3,1,210,5-11,Pittsburgh,"Tuesday, July 12, 1988",10,,Philadelphia Eagles,2009,,23,KAN23,https://www.pro-football-reference.com/players/M/McCoLe01.htm,KAN23,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/McCoLe01_2019.jpg,71,,,LESEAN MCCOY
KAN,2019,74,Martinas Rankin,25,OT,,,311,6-5,Mississippi St.,"Thursday, October 20, 1994",1,,Houston Texans,2018,,32,KAN32,https://www.pro-football-reference.com/players/R/RankMa00.htm,KAN32,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RankMa00_2019.jpg,77,,,MARTINAS RANKIN
KAN,2019,64,Greg Senat,25,OT,,,305,6-6,Wagner,"Thursday, September 8, 1994",1,,Baltimore Ravens,2018,,37,KAN37,https://www.pro-football-reference.com/players/S/SenaGr00.htm,KAN37,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SenaGr00_2019.jpg,78,,,GREG SENAT
MIA,2019,47,Vince Biegel,26,OLB,3,0,246,6-3,Wisconsin,"Friday, July 2, 1993",2,,Green Bay Packers,2017,,4,MIA4,https://www.pro-football-reference.com/players/B/BiegVi00.htm,MIA4,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BiegVi00_2019.jpg,75,,,VINCE BIEGEL
MIA,2019,76,Evan Boehm,26,C,3,0,321,6-3,Missouri,"Thursday, August 19, 1993",3,,Arizona Cardinals,2016,,5,MIA5,https://www.pro-football-reference.com/players/B/BoehEv00.htm,MIA5,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BoehEv00_2019.jpg,75,,,EVAN BOEHM
MIA,2019,96,Taco Charlton,25,DE,1,0,270,6-6,Michigan,"Monday, November 7, 1994",2,,Dallas Cowboys,2017,,7,MIA7,https://www.pro-football-reference.com/players/C/CharTa00.htm,MIA7,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CharTa00_2019.jpg,78,,,TACO CHARLTON
MIA,2019,78,Andrew Donnal,27,OT,,,305,6-6,Iowa,"Tuesday, March 3, 1992",4,,St. Louis Rams,2015,,12,MIA12,https://www.pro-football-reference.com/players/D/DonnAn00.htm,MIA12,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DonnAn00_2019.jpg,78,,,ANDREW DONNAL
MIA,2019,65,Danny Isidora,25,OG,3,3,306,6-3,Miami (FL),"Sunday, June 5, 1994",2,,Minnesota Vikings,2017,,25,MIA25,https://www.pro-football-reference.com/players/I/IsidDa00.htm,MIA25,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/IsidDa00_2019.jpg,75,,,DANNY ISIDORA
MIA,2019,95,John Jenkins,30,DT,3,0,327,6-3,Georgia,"Tuesday, July 11, 1989",6,,New Orleans Saints,2013,,26,MIA26,https://www.pro-football-reference.com/players/J/JenkJo00.htm,MIA26,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JenkJo00_2019.jpg,75,,,JOHN JENKINS
MIA,2019,93,Avery Moss,25,DE,3,2,271,6-3,Youngstown St.,"Friday, September 16, 1994",2,,New York Giants,2017,,35,MIA35,https://www.pro-football-reference.com/players/M/MossAv00.htm,MIA35,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MossAv00_2019.jpg,75,,,AVERY MOSS
MIA,2019,61,J'Marcus Webb,31,T,3,2,320,6-7,"North Texas,West Texas A&M","Monday, August 8, 1988",9,,Chicago Bears,2010,,47,MIA47,https://www.pro-football-reference.com/players/W/WebbJM20.htm,MIA47,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WebbJM20_2019.jpg,79,,,JMARCUS WEBB
MIA,2019,31,Ken Webster,23,CB,2,0,202,5-11,Mississippi,"Wednesday, June 19, 1996",0,,New England Patriots,2019,,48,MIA48,https://www.pro-football-reference.com/players/W/WebsKe00.htm,MIA48,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WebsKe00_2019.jpg,71,,,KEN WEBSTER
NOR,2019,47,Kiko Alonso,29,ILB,3,1,239,6-3,Oregon,"Tuesday, August 14, 1990",6,,Buffalo Bills,2013,,0,NOR0,https://www.pro-football-reference.com/players/A/AlonKi00.htm,NOR0,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AlonKi00_2019.jpg,75,,,KIKO ALONSO
NWE,2019,63,Caleb Benenoch,25,OT,,,305,6-5,UCLA,"Monday, August 8, 1994",3,,Tampa Bay Buccaneers,2016,,1,NWE1,https://www.pro-football-reference.com/players/B/BeneCa00.htm,NWE1,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BeneCa00_2019.jpg,77,,,CALEB BENENOCH
NWE,2019,74,Korey Cunningham,24,OT,1,0,305,6-6,Cincinnati,"Wednesday, May 17, 1995",1,,Arizona Cardinals,2018,,15,NWE15,https://www.pro-football-reference.com/players/C/CunnKo00.htm,NWE15,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CunnKo00_2019.jpg,78,,,KOREY CUNNINGHAM
NWE,2019,65,Jermaine Eluemunor,25,OG,2,0,335,6-4,Texas A&M,"Tuesday, December 13, 1994",2,,Baltimore Ravens,2017,,19,NWE19,https://www.pro-football-reference.com/players/E/ElueJe00.htm,NWE19,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ElueJe00_2019.jpg,76,,,JERMAINE ELUEMUNOR
NWE,2019,72,Marshall Newhouse,31,"G,T",2,2,330,6-4,TCU,"Thursday, September 29, 1988",8,,Green Bay Packers,2010,,39,NWE39,https://www.pro-football-reference.com/players/N/NewhMa20.htm,NWE39,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/NewhMa20_2019.jpg,76,,,MARSHALL NEWHOUSE
NYG,2019,17,Cody Core,25,WR,3,0,205,6-3,Mississippi,"Sunday, April 17, 1994",3,,Cincinnati Bengals,2016,,7,NYG7,https://www.pro-football-reference.com/players/C/CoreCo00.htm,NYG7,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CoreCo00_2019.jpg,75,,,CODY CORE
NYG,2019,55,David Mayo,26,ILB,3,0,245,6-2,Texas St.,"Sunday, August 8, 1993",4,,Carolina Panthers,2015,,30,NYG30,https://www.pro-football-reference.com/players/M/MayoDa00.htm,NYG30,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MayoDa00_2019.jpg,74,,,DAVID MAYO
NYG,2019,82,Kaden Smith,22,TE,,,252,6-5,Stanford,"Thursday, April 24, 1997",0,,San Francisco 49ers,2019,,45,NYG45,https://www.pro-football-reference.com/players/S/SmitKa00.htm,NYG45,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SmitKa00_2019.jpg,77,,,KADEN SMITH
NYJ,2019,10,Braxton Berrios,24,WR,3,0,190,5-9,Miami (FL),"Friday, October 6, 1995",1,,New England Patriots,2018,,7,NYJ7,https://www.pro-football-reference.com/players/B/BerrBr00.htm,NYJ7,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BerrBr00_2019.jpg,69,,,BRAXTON BERRIOS
NYJ,2019,56,John Franklin-Myers,23,DE,,,288,6-4,S.F. Austin,"Thursday, September 26, 1996",1,,Los Angeles Rams,2018,,20,NYJ20,https://www.pro-football-reference.com/players/F/FranJo02.htm,NYJ20,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FranJo02_2019.jpg,76,,,JOHN FRANKLIN-MYERS
NYJ,2019,21,Nate Hairston,25,CB,3,2,185,6-0,Temple,"Thursday, June 30, 1994",2,,Indianapolis Colts,2017,,22,NYJ22,https://www.pro-football-reference.com/players/H/HairNa00.htm,NYJ22,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HairNa00_2019.jpg,72,,,NATE HAIRSTON
NYJ,2019,18,Demaryius Thomas,32,WR,1,1,225,6-3,Georgia Tech,"Friday, December 25, 1987",9,,Denver Broncos,2010,,46,NYJ46,https://www.pro-football-reference.com/players/T/ThomDe03.htm,NYJ46,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ThomDe03_2019.jpg,75,,,DEMARYIUS THOMAS
NYJ,2019,60,Jordan Willis,24,DE,,,270,6-4,Kansas St.,"Tuesday, May 2, 1995",2,,Cincinnati Bengals,2017,,50,NYJ50,https://www.pro-football-reference.com/players/W/WillJo09.htm,NYJ50,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WillJo09_2019.jpg,76,,,JORDAN WILLIS
OTI,2019,23,Tye Smith,26,CB,1,0,195,6-0,Towson,"Monday, May 3, 1993",4,,Seattle Seahawks,2015,,45,OTI45,https://www.pro-football-reference.com/players/S/SmitTy01.htm,OTI45,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SmitTy01_2019.jpg,72,,,TYE SMITH
PHI,2019,66,Akeem Spence,28,DT,2,0,303,6-1,Illinois,"Friday, November 29, 1991",6,,Tampa Bay Buccaneers,2013,,47,PHI47,https://www.pro-football-reference.com/players/S/SpenAk00.htm,PHI47,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SpenAk00_2019.jpg,73,,,AKEEM SPENCE
PIT,2019,29,Minkah Fitzpatrick,23,FS,1,1,207,6-1,Alabama,"Monday, November 4, 1996",1,,Miami Dolphins,2018,,19,PIT19,https://www.pro-football-reference.com/players/F/FitzMi00.htm,PIT19,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FitzMi00_2019.jpg,73,,,MINKAH FITZPATRICK
RAI,2019,12,Trevor Davis,26,WR,,,188,6-1,California,"Sunday, July 4, 1993",3,,Green Bay Packers,2016,,8,RAI8,https://www.pro-football-reference.com/players/D/DaviTr03.htm,RAI8,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DaviTr03_2019.jpg,73,,,TREVOR DAVIS
RAI,2019,14,DeShone Kizer,23,QB,,,235,6-4,Notre Dame,"Wednesday, January 3, 1996",2,,Cleveland Browns,2017,,29,RAI29,https://www.pro-football-reference.com/players/K/KizeDe00.htm,RAI29,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/KizeDe00_2019.jpg,76,,,DESHONE KIZER
SDG,2019,29,Dontae Johnson,28,FS,2,0,200,6-2,North Carolina St.,"Sunday, December 1, 1991",5,,San Francisco 49ers,2014,,23,SDG23,https://www.pro-football-reference.com/players/J/JohnDo02.htm,SDG23,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JohnDo02_2019.jpg,74,,,DONTAE JOHNSON
SDG,2019,81,Lance Kendricks,31,TE,1,0,250,6-3,Wisconsin,"Saturday, January 30, 1988",8,,St. Louis Rams,2011,,25,SDG25,https://www.pro-football-reference.com/players/K/KendLa00.htm,SDG25,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/KendLa00_2019.jpg,75,,,LANCE KENDRICKS
TAM,2019,70,Jerald Hawkins,26,OT,,,305,6-6,LSU,"Saturday, October 16, 1993",2,,Pittsburgh Steelers,2016,,24,TAM24,https://www.pro-football-reference.com/players/H/HawkJe00.htm,TAM24,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HawkJe00_2019.jpg,78,,,JERALD HAWKINS
TAM,2019,22,T.J. Logan,25,RB,3,0,195,5-11,North Carolina,"Saturday, September 3, 1994",1,,Arizona Cardinals,2017,,29,TAM29,https://www.pro-football-reference.com/players/L/LogaT.00.htm,TAM29,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/LogaT.00_2019.jpg,71,,,TJ LOGAN
WAS,2019,22,Aaron Colvin,28,CB,,,191,6-0,Oklahoma,"Wednesday, October 2, 1991",5,,Jacksonville Jaguars,2014,,7,WAS7,https://www.pro-football-reference.com/players/C/ColvAa00.htm,WAS7,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ColvAa00_2019.jpg,72,,,AARON COLVIN
WAS,2019,96,Treyvon Hester,27,DT,2,0,304,6-2,Toledo,"Monday, September 21, 1992",2,,Oakland Raiders,2017,,17,WAS17,https://www.pro-football-reference.com/players/H/HestTr00.htm,WAS17,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HestTr00_2019.jpg,74,,,TREYVON HESTER
WAS,2019,34,Wendell Smallwood,25,RB,3,0,208,5-10,West Virginia,"Saturday, January 29, 1994",3,,Philadelphia Eagles,2016,,43,WAS43,https://www.pro-football-reference.com/players/S/SmalWe00.htm,WAS43,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SmalWe00_2019.jpg,70,,,WENDELL SMALLWOOD
WAS,2019,54,Noah Spence,25,DE,,,251,6-2,"Ohio St.,East. Kentucky","Saturday, January 8, 1994",3,,Tampa Bay Buccaneers,2016,,44,WAS44,https://www.pro-football-reference.com/players/S/SpenNo00.htm,WAS44,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SpenNo00_2019.jpg,74,,,NOAH SPENCE
WAS,2019,34,Simeon Thomas,26,CB,2,0,197,6-3,Louisiana,"Wednesday, September 22, 1993",1,,Cleveland Browns,2018,,48,WAS48,https://www.pro-football-reference.com/players/T/ThomSi00.htm,WAS48,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ThomSi00_2019.jpg,75,,,SIMEON THOMAS
WAS,2019,50,Tanner Vallejo,25,ILB,3,0,230,6-1,Boise St.,"Friday, December 16, 1994",2,,Buffalo Bills,2017,,50,WAS50,https://www.pro-football-reference.com/players/V/VallTa00.htm,WAS50,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/VallTa00_2019.jpg,73,,,TANNER VALLEJO
ATL,2019,3,Matt Bryant,44,K,2,0,203,5-9,Baylor,"Thursday, May 29, 1975",17,,Undrafted,,,6,ATL6,https://www.pro-football-reference.com/players/b/bryanmat01.htm,ATL6,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/bryanmat01_2019.jpg,69,,,MATT BRYANT
ATL,2019,35,Jamal Carter,25,S,,,215,6-1,Miami (FL),"Tuesday, April 12, 1994",2,,Undrafted,,,9,ATL9,https://www.pro-football-reference.com/players/C/CartJa02.htm,ATL9,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CartJa02_2019.jpg,73,,,JAMAL CARTER
ATL,2019,40,Keith Smith,27,LB,3,0,240,6-0,San Jose St.,"Wednesday, April 8, 1992",5,,Undrafted,,,47,ATL47,https://www.pro-football-reference.com/players/S/SmitKe03.htm,ATL47,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SmitKe03_2019.jpg,72,,,KEITH SMITH
BUF,2019,71,Ryan Bates,22,T,,,300,6-4,Penn State,"Friday, February 14, 1997",0,,Undrafted,,,4,BUF4,https://www.pro-football-reference.com/players/B/BateRy02.htm,BUF4,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BateRy02_2019.jpg,76,,,RYAN BATES
CAR,2019,82,Chris Manhertz,27,TE,3,2,255,6-6,Canisius,"Friday, April 10, 1992",5,,Undrafted,,,26,CAR26,https://www.pro-football-reference.com/players/M/ManhCh00.htm,CAR26,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ManhCh00_2019.jpg,78,,,CHRIS MANHERTZ
CAR,2019,78,Bryan Witzmann,29,T,,,320,6-7,South Dakota St.,"Saturday, June 16, 1990",5,,Undrafted,,,50,CAR50,https://www.pro-football-reference.com/players/W/WitzBr00.htm,CAR50,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WitzBr00_2019.jpg,79,,,BRYAN WITZMANN
CAR,2019,11,Brandon Zylstra,26,WR,,,215,6-2,Concordia-Moorhead (MN),"Thursday, March 25, 1993",1,,Undrafted,,,52,CAR52,https://www.pro-football-reference.com/players/Z/ZylsBr00.htm,CAR52,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ZylsBr00_2019.jpg,74,,,BRANDON ZYLSTRA
CHI,2019,81,J.P. Holtz,26,TE,1,0,240,6-3,Pittsburgh,"Saturday, August 28, 1993",1,,Undrafted,,,16,CHI16,https://www.pro-football-reference.com/players/H/HoltJ.01.htm,CHI16,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HoltJ.01_2019.jpg,75,,,JP HOLTZ
CIN,2019,50,LaRoy Reynolds,29,LB,2,0,240,6-1,Virginia,"Saturday, November 3, 1990",6,,Undrafted,,,37,CIN37,https://www.pro-football-reference.com/players/R/ReynLa00.htm,CIN37,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ReynLa00_2019.jpg,73,,,LAROY REYNOLDS
CIN,2019,74,Keaton Sutherland,22,G,1,0,315,6-5,Texas A&M,"Wednesday, February 12, 1997",0,,Undrafted,,,41,CIN41,https://www.pro-football-reference.com/players/S/SuthKe00.htm,CIN41,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SuthKe00_2019.jpg,77,,,KEATON SUTHERLAND
CLE,2019,56,Willie Harvey,23,LB,1,0,230,5-11,Iowa State,"Tuesday, January 9, 1996",0,,Undrafted,,,14,CLE14,https://www.pro-football-reference.com/players/H/HarvWi00.htm,CLE14,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HarvWi00_2019.jpg,71,,,WILLIE HARVEY
CLE,2019,12,KhaDarel Hodge,24,WR,3,0,205,6-2,Prairie View A&M,"Tuesday, January 3, 1995",1,,Undrafted,,,17,CLE17,https://www.pro-football-reference.com/players/H/HodgKh00.htm,CLE17,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HodgKh00_2019.jpg,74,,,KHADAREL HODGE
CLE,2019,67,Justin McCray,27,G,2,1,317,6-3,Central Florida,"Sunday, May 31, 1992",2,,Undrafted,,,28,CLE28,https://www.pro-football-reference.com/players/M/McCrJu00.htm,CLE28,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/McCrJu00_2019.jpg,75,,,JUSTIN MCCRAY
CLE,2019,83,Ricky Seals-Jones,24,WR,2,0,243,6-5,Texas A&M,"Wednesday, March 15, 1995",2,,Undrafted,,,38,CLE38,https://www.pro-football-reference.com/players/S/SealRi00.htm,CLE38,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SealRi00_2019.jpg,77,,,RICKY SEALS-JONES
CLT,2019,2,Brian Hoyer,34,QB,,,216,6-2,Michigan St.,"Sunday, October 13, 1985",10,,Undrafted,,,22,CLT22,https://www.pro-football-reference.com/players/H/HoyeBr00.htm,CLT22,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HoyeBr00_2019.jpg,74,,,BRIAN HOYER
